user_id,user_first_name,user_last_name,user_phone,user_address,user_city,user_province,user_email,user_username,user_password
1,saymen,saymen,6.29E+11,Jalan Mangga 23,Bandung,Jawa Barat,michaelj@binus.ac.id,id_michaelj,123michael
2,decade,decade,6.29E+11,Jalan Jeruk 15,Surabaya,Jawa Timur,decaded@binus.ac.id,id_decaded,123decade
3,agito,agito,6.29E+11,Jalan Apel 7,Bandung,Jawa Barat,agitoa@binus.ac.id,id_agitoa,123agito
4,kuuga,kuuga,6.29E+11,Jalan Anggur 42,Yogyakarta,Daerah Istimewa Yogyakarta,kuugak@binus.ac.id,id_kuugak,123kuuga
5,allen,iverson,6.29E+11,Jalan Kelapa 11,Medan,Sumatera Utara,alleni@binus.ac.id,id_alleni,123allen
6,julis,erving,6.29E+11,Jalan Durian 5,Palembang,Sumatera Selatan,julise@binus.ac.id,id_julise,123julis
7,charles,barkley,6.29E+11,Jalan Ayam 29,Semarang,Jawa Tengah,charlesb@binus.ac.id,id_charlesb,123charles
8,kareem,abduljabbar,6.29E+11,Jalan Kucing 36,Makassar,Sulawesi Selatan,kareema@binus.ac.id,id_kareema,123kareem
9,john,doe,6.29E+11,Jalan Nanas 18,Malang,Jawa Timur,johnd@binus.ac.id,id_johnd,123john
10,william,bruce,6.29E+11,Jalan Belimbing 20,Denpasar,Bali,williamb@binus.ac.id,id_williamb,123william
11,steve,bruce,6.29E+11,Jalan Pisang 3,Jakarta,DKI Jakarta,steveb@binus.ac.id,id_steveb,123steve
12,alan,shearer,6.29E+11,Jalan Kambing 45,Surabaya,Jawa Timur,alans@binus.ac.id,id_alans,123alan
13,peter,beardsley,6.29E+11,Jalan Stroberi 8,Bandung,Jawa Barat,peterb@binus.ac.id,id_peterb,123peter
14,thibaut,courtois,6.29E+11,Jalan Angsa 12,Yogyakarta,Daerah Istimewa Yogyakarta,thibautc@binus.ac.id,id_thibautc,123thibaut
15,erling,haaland,6.29E+11,Jalan Jeruk 33,Medan,Sumatera Utara,erlingh@binus.ac.id,id_erlingh,123erling
16,callum,wilson,6.29E+11,Jalan Apel 14,Palembang,Sumatera Selatan,callumw@binus.ac.id,id_callumw,123callum
17,javier,zanetti,6.29E+11,Jalan Mangga 22,Semarang,Jawa Tengah,javierz@binus.ac.id,id_javierz,123javier
18,christian,vieri,6.29E+11,Jalan Kelinci 9,Makassar,Sulawesi Selatan,christianv@binus.ac.id,id_christianv,123christian
19,eden,hazard,6.29E+11,Jalan Salak 17,Malang,Jawa Timur,edenh@binus.ac.id,id_edenh,123eden
20,juan,mata,6.29E+11,Jalan Kuda 26,Denpasar,Bali,juanm@binus.ac.id,id_juanm,123juan
